nikkud,transliteration,word
אַד,ad,אד
הוֹמִינֶם,hominem,הומינם
אַדְוָה,adva,אדוה
אִדּוּי,iduy,אדוי
אֱדוֹם,edom,אדום
אָדוֹן,adon,אדון
אָדוּק,aduk,אדוק
אִדּוּשׁ,idush,אדוש
אַדְיַאבָּטִי,adiabati,אדיאבטי
אָדִיב,adiv,אדיב
אֲדִיבוּת,adivut,אדיבות
אַדְיַבָּטָה,adiabata,אדיבטה
אַדִּיר,adir,אדיר
אָדִישׁ,adish,אדיש
אֲדִישׁוּת,adishut,אדישות
אֶדֶלְוַויְיס,edelvays,אדלווייס
אָדֹם,adom,אדם
אֹדֶם,odem,אדם
אָדָם,adam,אדם
אָדָם,adam,אדם
בַּיָם,bayam,בים
אָדָם,adam,אדם
זְאֵב,zeev,זאב
אָדָם,adam,אדם
זָּקוּף,zakuf,זקוף
אֲדָמָה,adama,אדמה
אֲדָמָה,adama,אדמה
חֲרוּכָה,kharukha,חרוכה
אַדְמוֹנִי,admoni,אדמוני
אַדְמִירָל,admiral,אדמירל
אַדְמִירָלוּת,admiralut,אדמירלות
אַדְמִירָלִיוּת,admiraliyut,אדמירליות
אֶדָמָמֶה,edamame,אדממה
אַדְמַת,admat,אדמת
טְרָשִים,trashim,טרשים
אֶדֶן,eden,אדן
אֶדֶן,eden,אדן
הַתֹּרֶן,hatoren,התרן
אָדֵנוֹזִין,adenozin,אדנוזין
טְרִיפוֹסְפָט,trifosfat,טריפוספט
אָדֵנוֹזִין,adenozin,אדנוזין
תְּלַת,tlat,תלת
זַרְחָתִי,zarkhati,זרחתי
אָדֶנִין,adenin,אדנין
אֲדָנִית,adanit,אדנית
אָדַפְּטִיבִי,adaptivi,אדפטיבי
אֶדֶר,eder,אדר
אֲדָר,adar,אדר
אֵדֶר,eder,אדר
אַדְּרַבָּה,adraba,אדרבה
אִדְרָה,idra,אדרה
אִדְרָה,idra,אדרה
אַדְרִיכָל,adrikhal,אדריכל
אַדְרִיכָלוּת,adrikhalut,אדריכלות
נוֹף,nof,נוף
אַדְרֶנַל,adrenal,אדרנל
אַדְרֵנָלִין,adrenalin,אדרנלין
אַדֶּרֶת,aderet,אדרת
אַהֲבָה,ahava,אהבה
אַהֲבָה,ahava,אהבה
אַפְּלָטוֹנִית,aplatonit,אפלטונית
אַהֲבָה,ahava,אהבה
עִוֶּרֶת,iveret,עורת
אַהֲבַת,ahavat,אהבת
חִנָּם,khinam,חנם
אַהֲדָה,ahada,אהדה
אֲהָהּ,ahah,אהה
אֱהִי,ehi,אהי
אָהִיל,ahil,אהיל
אָהָל,ahal,אהל
אֹהֶל,ohel,אהל
אַהְלָן,ahalan,אהלן
אוֹ,o,או
"אוּ""ם",um,"או""ם"
שְׁמוּם,shmum,שמום
אוֹאוֹגֵנֵזָה,o'ogenesa,אואוגנזה
אוֹאָזִיס,oazis,אואזיס
אוֹב,ov,אוב
אוֹבְּיֶקְט,obyekt,אוביקט
אוֹבְּיֶקְטִיבִי,obiektivi,אוביקטיבי
אוֹבְּיֶקְטִיבִיּוּת,obyektiviyut,אוביקטיביות
אוּבָל,uval,אובל
אוֹבָלִי,ovali,אובלי
אוּבְּלִיאֶט,ubliet,אובליאט
אוֹבֶּלִיסְק,obelisk,אובליסק
אוֹבְּסִידִיאַן,obsidian,אובסידיאן
אוֹבְּסֶסִיבִי,obsesivi,אובססיבי
אוֹבְּסֵסְיָה,obsesya,אובססיה
אוֹגֵד,oged,אוגד
אוֹגוּסְט,ogust,אוגוסט
אוֹגֵר,oger,אוגר
אוּד,ud,אוד
עָשֵׁן,'ashen,עשן
אוֹדוֹת,odot,אודות
אוֹדְיוֹמֶטֶר,odyometer,אודיומטר
אוֹדִישֶׁן,odishen,אודישן
אוֹהְם,om,אוהם
אֲוָז,avaz,אוז
אוּזוֹ,ouzo,אוזו
אוֹזוֹן,ozon,אוזון
אוּחצָ'ה,uchtsha,אוחצ'ה
אוֹטוֹ,oto,אוטו
אוֹטוֹ,oto,אוטו
אוֹטוֹבּוּס,otobus,אוטובוס
אוֹטוֹבּוּס,otobus,אוטובוס
דּוּ,du,דו
קוֹמָתִי,komati,קומתי
אוֹטוֹבָּן,otoban,אוטובן
אוֹטוֹדִידַקְט,otodidakt,אוטודידקט
אוֹטוֹדִידַקְטִיּוּת,otodidaktiyut,אוטודידקטיות
אוֹטוֹטְרוֹף,ototrof,אוטוטרוף
אוֹטוֹמוֹבִּיל,otomobil,אוטומוביל
אוֹטוֹמָט,otomat,אוטומט
אוֹטוֹנוֹמְיָה,otonomia,אוטונומיה
אוֹטוֹסוּגֶסְטְיָה,otosugestya,אוטוסוגסטיה
אוֹטוֹסְטְרָדָה,otostrada,אוטוסטרדה
אוֹטוֹפּוֹרְטְרֶט,otoportret,אוטופורטרט
אוּטוֹפְּיָה,utopya,אוטופיה
אוֹטוֹפִיט,aotofit,אוטופיט
אוטוֹקְרָט,aotokrat,אוטוקרט
אוֹטוֹקְרַטְיָה,otokratyah,אוטוקרטיה
אוֹטוֹרִיטָה,otorita,אוטוריטה
אוֹטוֹרִינוֹלָרִינְגוֹלוֹגְיָה,otorinolaringologia,אוטורינולרינגולוגיה
אוֹטְרִיאָד,otri'ad,אוטריאד
אוֹטָרִיִּים,otariyim,אוטריים
אוֹטַרְקְיָה,otarkya,אוטרקיה
אוֹי,oy,אוי
אוֹי,oy,אוי
אוֹיֵב,oyev,אויב
אוֹיְבוּת,oyvut,אויבות
אֲוִיּוֹנִיקָה,evionika'',אויוניקה
אֱוִיל,evil,אויל
אֱוִילִי,evili,אוילי
אֲוִיר,avir,אויר
אֲוִירָה,avira,אוירה
אֲוִירוֹבָּטִיקָה,avirobatika,אוירובטיקה
אֲוִירוֹדִינָמִיקָה,avirodinamika,אוירודינמיקה
אֲוִירוֹן,aviron,אוירון
אֲוִירוֹנוֹטִיקָה,avironautika,אוירונוטיקה
אֲוִירָנִי,avirani,אוירני
אוֹכֵל,okhel,אוכל
נְבֵלוֹת,nevelot,נבלות
אוֹכְרָה,okhra,אוכרה
אוּל,ul,אול
אוּלְטִימָטוּם,ultimatum,אולטימטום
אוּלְטִימֵיט,ultimeit,אולטימיט
אוּלַי,ulay,אולי
אוֹלִיגוֹפְּסוֹן,oligopson,אוליגופסון
אוֹלִיגוֹקֵן,oligoken,אוליגוקן
אוֹלִיגַרְךְ,oligarkh,אוליגרך
אוֹלִיגַרְכְיָה,oligarkhya,אוליגרכיה
אוֹלִימְפִּי,olimpi,אולימפי
אוּלָם,ulam,אולם
אוּלָם,ulam,אולם
אוּלַם,ulam,אולם
הַתְוָיָה,hatvaya,התויה
אוּלַם,ulam,אולם
סִמּוּן,simun,סמון
אוֹלָר,olar,אולר
אִוֶּלֶת,ivelet,אולת
אוֹמֶגָה,omega,אומגה
אוֹמֵן,omen,אומן
אוֹמְנִיפּוֹטֶנְט,omnipotent,אומניפוטנט
אוֹן,on,און
אָוֶן,aven,און
אֶוָנְגֵלְיוֹן,evangelion,אונגליון
אָוַנְגַּרְד,avangard,אונגרד
אוֹנְגַּרְד,ongard,אונגרד
אָוַנְגַּרְדִּי,avangardi,אונגרדי
אוֹנוֹמָטוֹפֵּיָה,onomatope'a,אונומטופיה
אוֹנוֹמַסְטִיקָה,onomastikah,אונומסטיקה
אוֹנוֹמַסְטִיקוֹן,onomastikon,אונומסטיקון
אוּנִיבֶרְסִיטָה,universita,אוניברסיטה
אוּנְיָה,unyah,אוניה
פֶּרְסוֹנָלִית,personalit,פרסונלית
אוֹנְנוּת,onenut,אוננות
אוֹנָנוּת,onanut,אוננות
אוֹנְקוֹלוֹגְיָה,onkologya,אונקולוגיה
אוּנָרִי,unari,אונרי
אוֹסְטֵאוֹדֶרְם,osteoderm,אוסטאודרם
אוֹסְטֵאוֹפָּת,osteopat,אוסטאופת
אוֹסְטֵאוֹקָלְצִין,osteokaltsin,אוסטאוקלצין
אוֹסְטְרֵאָה,ostreah,אוסטראה
אוֹסְטְרִי,ostri,אוסטרי
אוֹסְטְרַלְאַסְיָה,ostralasyah,אוסטרלאסיה
אוֹסְטְרָלִי,ostrali,אוסטרלי
אוֹסְטְרַלְיָה,ostralya,אוסטרליה
אוֹסְטְרָקִיזְם,ostrakizm,אוסטרקיזם
אוֹסְמוֹזָה,osmoza,אוסמוזה
אוֹסְמוֹזָה,osmoza,אוסמוזה
הָפוּכָה,hafoka,הפוכה
אוֹסְמוֹפוֹבְּיָה,osmofobya,אוסמופוביה
אוֹסְמְיוּם,osamium,אוסמיום
אוֹסְצִילוֹקוֹקִינוּם,ostsilumkokinum,אוסצילוקוקינום
אוֹפֶה,ofe,אופה
אוֹפּוֹזִיצְיָה,opozitsyah,אופוזיציה
אוֹפּוֹזִיצְיוֹנֶר,opozitsioner,אופוזיציונר
אוֹפּוֹרְטוּנִיזְם,oportunizem,אופורטוניזם
אוֹפְּטוֹמֶטֶר,optometer,אופטומטר
אוֹפְּטוֹמֶטְרַאי,optometrai,אופטומטראי
אוֹפְּטוֹמֶטְרִיסְט,optometrist,אופטומטריסט
אוֹפְּטוֹפוֹן,optofon,אופטופון
אוֹפְּטִימִי,optimi,אופטימי
אוֹפְּטִימִיזַצְיָה,optimizatsya,אופטימיזציה
אוֹפְּטִיקָה,optika,אופטיקה
אוֹפְטַלְמוֹסְקוֹפּ,oftalmoskop,אופטלמוסקופ
אוֹפְטַלְמוֹסְקוֹפְּיָה,oftalmoskopyah,אופטלמוסקופיה
אוֹפִיקְלֵאִידָה,ofikleidah,אופיקלאידה
אוֹפַן,ofan,אופן
אוֹפַנּוֹעַ,ofanoa',אופנוע
אוֹפַנּוֹעַ,ofanoa,אופנוע
יָם,yam,ים
אוֹפַנִּי,ofanay,אופני
טַנְדֶם,tandam,טנדם
אוֹפַנִּי,aofhnei,אופני
יָד,yad,יד
אוֹפַנַּיִם,ofanayim,אופנים
אוֹפַנָּן,ofanan,אופנן
אוּפְּס,ups,אופס
אוֹפֵּרָה,opera,אופרה
אוֹפְתַלְמוֹלוֹגְיָה,optolamologya,אופתלמולוגיה
אוֹצֵר,otser,אוצר
אוֹצָר,otsar,אוצר
אוֹצָר,otsar,אוצר
בָּלוּם,balum,בלום
אוֹצָר,otsar,אוצר
טֶבַע,teva,טבע
אוֹצַר,otsar,אוצר
מִלִּים,milim,מלים
אוֹקוּלוּס,okulus,אוקולוס
אוֹקוּלְטִיזְם,okultizm,אוקולטיזם
אוֹקַזְיוֹנָלִיזְם,okazyonalizm,אוקזיונליזם
אוֹקְטָאֶדֶר,oktaeder,אוקטאדר
אוֹקְטוֹבֶּר,oktober,אוקטובר
אוֹקְטֶט,oktet,אוקטט
אוֹקֵי,okey,אוקי
אוֹקְיָאנוֹגְרַפְיָה,okyanografya,אוקיאנוגרפיה
אוֹקְיָנוֹס,okyanos,אוקינוס
אוֹקְיַנְיָה,okyanya,אוקיניה
אוֹקְסִידֶנְטָלִיזְם,oxidentalizem,אוקסידנטליזם
אוֹקְסִימוֹרוֹן,oksimoron,אוקסימורון
אוּר,ur,אור
אוֹר,or,אור
אוֹר,or,אור
גְּרִירָה,grirah,גרירה
אוֹר,or,אור
יְקָרוֹת,yekarot,יקרות
אוֹר,or,אור
יַרְכָּתַיִם,yarkatayim,ירכתים
אוֹר,or,אור
נִווּט,nivut,נווט
אוֹר,or,אור
סָבִיב,saviv,סביב
אוֹר,or,אור
עֲגִינָה,aginah,עגינה
אוֹר,or,אור
צַד,tsad,צד
אוֹר,or,אור
רֹאשׁ,rosh,ראש
תֹּרֶן,toren,תרן
אוֹר,or,אור
שִׁבְעַת,shiv'at,שבעת
הַיָּמִים,hayamim,ימים
אוֹר,or,אור
שַׁיִט,shayit,שיט
אוֹר,or,אור
תִּמְרוּן,timrun,תמרון
אוּרֵאָה,urea,אוראה
אוֹרֵב,orev,אורב
אוֹרְבִּיטַל,orbital,אורביטל
קוֹשֵׁר,kosher,קושר
אוּרְבָּנִיזְם,urbanziem,אורבניזם
אוֹרְגַּזְמָה,orgazma,אורגזמה
אוֹרְגְּיָה,orgya,אורגיה
אוֹרְגָּן,organ,אורגן
אוֹרְגָּן,organ,אורגן
חַשְׁמַלִּי,khashmali,חשמלי
אוֹרְגָּנִי,organi,אורגני
אוֹרְגָּנִיזְם,organizm,אורגניזם
אוֹרְדּוֹבִיק,ordovik,אורדוביק
אוֹרוֹגֵּנֵזָה,orogenezah,אורוגנזה
אוּרוֹלוֹגְיָה,urologya,אורולוגיה
אוּרוֹפִילְיָה,urofilyah,אורופיליה
אוֹרֵחַ,oreakh,אורח
אוֹרְחָה,orkha,אורחה
אוֹרְחָן,orkhan,אורחן
אוּרִי,uri,אורי
אוֹרִיגָמִי,origami,אוריגמי
אוּרִים,urim,אורים
וְתֻמִּים,vetumim,ותמים
אוֹרְיָנוּת,oryanut,אורינות
אוֹרִיקוֹלוֹתֵרַפְּיָה,orikoloterapyah,אוריקולותרפיה
אוֹרְלוֹגִין,orlogin,אורלוגין
אוּרַנְגְּאוּטָן,orangutan,אורנגאוטן
אוּרַנְיָה,uranyah,אורניה
אוּרַנְיוּם,uranyum,אורניום
אוֹרְנִיתוֹלוֹגְיָה,ornitologya,אורניתולוגיה
אוֹרְתוֹגוֹנָל,ortogonal,אורתוגונל
אוֹרְתּוֹגוֹנָלִי,ortogonali,אורתוגונלי
אוֹרְתּוֹפֶּדְיָה,ortopedya,אורתופדיה
אוֹרְתוֹקֵרָטוֹלוֹגְיָה,ortokeratologiah,אורתוקרטולוגיה
אִוְשָׁה,ivsha,אושה
אֻשְׁכָּף,ushkaf,אושכף
אוֹת,ot,אות
גְּרוֹנִית,gronit,גרונית
אוֹת,ot,אות
דֶּגֶל,degel,דגל
אוֹת,ot,אות
מַעֲרָכָה,mearakha,מערכה
אוֹת,ot,אות
סוֹפִית,sofit,סופית
אוֹת,ot,אות
שִׁמּוּשׁ,shimush,שמוש
אוֹתוֹ,oto,אותו
אוֹתוֹת,otot,אותות
הַשָּׁמַיִם,hashamayim,השמים
אוֹתֶנְטִי,otenti,אותנטי
אָז,az,אז
אָז,az,אז
זֶהוּ,zehu,זהו
שֶׁלֹּא,shelo,שלא
אָזֵאוֹטְרוֹפּ,ezeotrop,אזאוטרופ
אִזְדָּרֶכֶת,izdarekhet,אזדרכת
אַזְהָרָה,azhara,אזהרה
אַזְהָרוֹת,azharot,אזהרות
אֵזוֹב,ezov,אזוב
אֲזוֹבְיוֹן,azovyon,אזוביון
אֶזוֹטֶרִי,ezoteri,אזוטרי
אָזוּר,azur,אזור
אֵזוֹר,ezor,אזור
אֵזוֹר,ezor,אזור
לְשׁוֹנִי,leshoni,לשוני
אֵזוֹר,ezor,אזור
מְפֹרָז,meforaz,מפרז
אֵזוֹר,ezor,אזור
תַּעֲשִׂיָּה,ta'asiya,תעשיה
אֲזַי,aza'y,אזי
אָזִימוּט,azimut,אזימוט
אָזְלַת,ozlat,אזלת
יָד,yad,יד
אִזְמֵל,izmel,אזמל
אִזְמֵלוֹן,izmelon,אזמלון
אִזְמָרַגְדּ,izmargad,אזמרגד
אֹזֶן,ozen,אזן
אֹזֶן,ozen,אזן
הָמָן,haman,המן
אָזְנֵי,ozney,אזני
חֲמוֹר,khamor,חמור
אָזְנִית,oznit,אזנית
אַזְעָקָה,az'aka,אזעקה
אֲזִקּוֹן,azikon,אזקון
אֲזִקִּים,azikim,אזקים
אֶזְרָח,ezrakh,אזרח
אֶזְרָחוּת,ezrakhut,אזרחות
אֶזְרָחִי,ezrakhi,אזרחי
אָח,akh,אח
אֹחַ,oakh,אח
אָח,akh,אח
אָח,akh,אח
חוֹרֵג,khoreg,חורג
אֶחָד,echad,אחד
אָחוּ,akhu,אחו
אָחוּז,akhuz,אחוז
אִחוּל,ikhul,אחול
אִחוּר,ikhur,אחור
אָחוֹת,akhot,אחות
אֶחֶז,akazh,אחז
אֲחֻזָּה,achuza,אחזה
אֲחֻזַּת,akhuzat,אחזת
אָבוֹת,avot,אבות
אֲחֻזַּת,akhuzat,אחזת
עוֹלָם,olam,עולם
אֲחִיזַת,akhizat,אחיזת
עֵינַיִם,enaim,עינים
אַחְיָן,akhyan,אחין
אַחְלָה,achla,אחלה
אַחְלָמָה,akhlama,אחלמה
אַחְרָה,akhra,אחרה
אַחֲרוֹן,akharon,אחרון
אַחֲרוֹן,akharon,אחרון
אַחֲרוֹן,akharon,אחרון
חָבִיב,khaviv,חביב
אַחְרָיוּתִיּוּת,akhrayutiyut,אחריותיות
אַחֲרִית,akharit,אחרית
אַחֶרִית,akharit,אחרית
דַבָר,davar,דבר
אַחְרַת,akhrat,אחרת
הַגּוּף,haguf,הגוף
אֲחַשְׁדַּרְפָּן,akhashdarpan,אחשדרפן
אֲחַשְׁוֵרוֹשׁ,akashverosh,אחשורוש
אַחַת,akhat,אחת
אַט,at,אט
אֵט,et,אט
אֶטֶב,etev,אטב
אָטָד,atad,אטד
אָטָוִיזְם,atavizm,אטויזם
אָטוֹל,atol,אטול
אָטוּם,atum,אטום
אָטוֹם,atom,אטום
אֵטוּן,etun,אטון
אֶטְיוֹלוֹגְיָה,etyologya,אטיולוגיה
אֵטִימוֹלוֹגְיָה,etimologya,אטימולוגיה
אִטְלוּלִית,itlulit,אטלולית
אִטְלִיז,itliz,אטליז
אַטְלָס,atlas,אטלס
אַטְמוֹסְפֶרָה,atmosferah,אטמוספרה
אִטֵּר,eter,אטר
אֵי,ey,אי
אִי,i,אי
אִי,i,אי
אִי,i',אי
זוּגִי,zugi,זוגי
אִי,i,אי
כְּשִׁירוּת,kshirut,כשירות
לְשַׁיִט,leshayit,לשיט
אֵיבָה,eyva,איבה
אִיבּוֹגָאִין,ibogain,איבוגאין
אֵיבָר,evar,איבר
אֵיבָר,evar,איבר
מִין,min,מין
אֵיבָר,evar,איבר
רְבִיָּה,reviya,רביה
אִיגָיוֹן,igayon,איגיון
אַיְגִיר,aigir,איגיר
אִיגְנוֹסְטִיוּת,ignostiyut,איגנוסטיות
אִיגְנוֹסְטִיצִיזְם,ignostitsizem,איגנוסטיציזם
אִידֵאָה,idea,אידאה
אִידֵאוֹגְרָפִי,ideografi,אידאוגרפי
אִידֵאוֹגְרָפְיָה,ideografyah,אידאוגרפיה
אִידֵאוֹלוֹגְיָה,ideologya,אידאולוגיה
אִידֵאָל,ideal,אידאל
אִידְיוֹט,idyot,אידיוט
אִידְיוֹלֶקְט,idiolekt,אידיולקט
אִידִילְיָה,idilya,אידיליה
אִידָךְ,idakh,אידך
אִידָן,idan,אידן
אַיָּה,aya,איה
אַיֵּה,aye,איה
אִיּוּם,iyum,איום
אִיזוֹבָּר,izobar,איזובר
אִיזוֹבָּרה,izobara,איזוברה
אִיזוֹטוֹפּ,izotop,איזוטופ
אִיזוֹטוֹפּוֹלוֹג,izotopolog,איזוטופולוג
אִיזוֹטֶרִי,izoteri,איזוטרי
אִיזוֹכוֹרָה,izokhora,איזוכורה
אִיזוֹמֵר,izomar,איזומר
אִיזוֹסְטַסְיָה,izostasyah,איזוסטסיה
אִיזוֹפְּרוֹפָּנוֹל,izopropanol,איזופרופנול
אִיזוֹתֶרְמָה,izoterma,איזותרמה
אִיטַלְיָה,italya,איטליה
אִיטַלְקִי,italki,איטלקי
אִיטַלְקִית,italkit,איטלקית
אִיטֶרְבְּיוּם,itrbium,איטרביום
אִיטֶרָטוֹר,iterator,איטרטור
אִיטְרְיוּם,itterium,איטריום
אִיטֶרַצְיָה,iteratsya,איטרציה
אִיֵּי,iyei,איי
הַיָּם,hayam,הים
אֵיךְ,ekh,איך
אֵיכָה,eycha,איכה
אֵיכוּת,eikhut,איכות
אִיכְתִיאוֹרְנִיס,ikhtiornis,איכתיאורניס
אִיכְתְיוֹזָאוּרוּס,ikhtiozaurus,איכתיוזאורוס
אִיכְתְּיוֹלוֹגְיָה,ikhtyologya,איכתיולוגיה
אַיָּל,ayal,איל
אַיִל,ayil,איל
אֱיָל,eyal,איל
אַיָּלָה,ayala,אילה
שְׁלוּחָה,shlukha,שלוחה
אִילוּזִיה,iluzia,אילוזיה
אַיְלוֹנִית,ailonit,אילונית
אִילָן,ilan,אילן
אִילַן,ilan,אילן
יוּחֲסִין,yokhasin,יוחסין
אִילָנִית,ilanit,אילנית
אַיֶּלֶת,ayelet,אילת
הַשַּׁחַר,hashakhar,השחר
אָיֹם,ayom,אים
אִימְבָּצִיל,imbatsil,אימבציל
אִימוֹגִ'י,imoji,אימוג'י
אִימוּנוֹבְּלוֹט,imunoblot,אימונובלוט
אִימוּנוֹלוֹגְיָה,imunologya,אימונולוגיה
אִימְפְּלִיקָטוּרָה,implicaturah,אימפליקטורה
אִימְפַּסְטוֹ,impasto,אימפסטו
אִימְפֶּרְיָאלִיזְם,imperyalizem,אימפריאליזם
אֵימָתַי,eymatay,אימתי
אַיִן,ayin,אין
אֵין,ein,אין
אָדָם,adam,אדם
יוֹצֵא,yotse,יוצא
מִן,min,מן
הָעוֹלָם,haolam,העולם
וַחֲצִי,vekhatsi,וחצי
תַּאֲוָתוֹ,ta'avato,תאותו
